Symptom,Symptom,Symptom,Disease,Treatment
nausea,painful cramps,missed periods,early pregnancy,prenatal care
nausea,painful cramps,missed periods,early pregnancy,prenatal care
abdominal bloating,lower back pain,nausea,ovarian cyst,pain relievers
abdominal bloating,lower back pain,nausea,ovarian cyst,pain relievers
painful intercourse,abdominal cramps,irregular periods,endometriosis,pain relievers
painful intercourse,abdominal cramps,irregular periods,endometriosis,pain relievers
painful urination,abdominal pain,blood in urine,bladder infection,antibiotics
painful urination,abdominal pain,blood in urine,bladder infection,antibiotics
painful cramps,fatigue,swollen abdomen,ectopic pregnancy,surgery
painful cramps,fatigue,swollen abdomen,ectopic pregnancy,surgery
abnormal discharge,itchy genitals,painful cramps,vaginal infection,antibiotics
abnormal discharge,itchy genitals,painful cramps,vaginal infection,antibiotics
abnormal bleeding,painful urination,fever,pelvic inflammatory disease,antibiotics
abnormal bleeding,painful urination,fever,pelvic inflammatory disease,antibiotics
painful cramps,nausea,vomiting,endometriosis,hormonal therapy
painful cramps,nausea,vomiting,endometriosis,hormonal therapy
painful urination,blood in urine,fever,bladder infection,antibiotics
painful urination,blood in urine,fever,bladder infection,antibiotics
nausea,vomiting,abdominal cramps,pregnancy,prenatal care
nausea,vomiting,abdominal cramps,pregnancy,prenatal care
painful urination,swelling,painful cramps,urinary tract infection,antibiotics
painful urination,swelling,painful cramps,urinary tract infection,antibiotics
swollen genitals,fever,painful urination,sexually transmitted infection,antibiotics
swollen genitals,fever,painful urination,sexually transmitted infection,antibiotics
itchy genitals,redness,painful urination,yeast infection,antifungal cream
itchy genitals,redness,painful urination,yeast infection,antifungal cream
painful intercourse,lower abdominal pain,nausea,endometriosis,pain relievers
painful intercourse,lower abdominal pain,nausea,endometriosis,pain relievers
abnormal bleeding,nausea,abdominal pain,uterine fibroids,surgery
abnormal bleeding,nausea,abdominal pain,uterine fibroids,surgery
irregular periods,painful urination,lower back pain,endometriosis,pain relievers
irregular periods,painful urination,lower back pain,endometriosis,pain relievers
abnormal discharge,itchy genitals,painful urination,bacterial vaginosis,antibiotics
abnormal discharge,itchy genitals,painful urination,bacterial vaginosis,antibiotics
swollen genitals,painful urination,fever,urinary tract infection,antibiotics
swollen genitals,painful urination,fever,urinary tract infection,antibiotics
painful cramps,abdominal pain,vomiting,ectopic pregnancy,surgery
painful cramps,abdominal pain,vomiting,ectopic pregnancy,surgery
abnormal bleeding,painful intercourse,abdominal pain,pelvic inflammatory disease,antibiotics
abnormal bleeding,painful intercourse,abdominal pain,pelvic inflammatory disease,antibiotics
vaginal bleeding,painful urination,nausea,urinary tract infection,antibiotics
vaginal bleeding,painful urination,nausea,urinary tract infection,antibiotics
lower abdominal pain,fever,abdominal cramps,ectopic pregnancy,surgery
lower abdominal pain,fever,abdominal cramps,ectopic pregnancy,surgery
abnormal bleeding,painful urination,fever,urinary tract infection,antibiotics
painful cramps,lower back pain,abdominal pain,endometriosis,pain relievers
vaginal bleeding,painful cramps,abdominal pain,menstrual disorder,pain relievers
painful intercourse,abdominal pain,nausea,endometriosis,pain relievers
abnormal discharge,painful urination,fever,urinary tract infection,antibiotics
painful urination,abnormal discharge,painful cramps,sexually transmitted infection,antibiotics
swollen genitals,painful intercourse,fever,sexually transmitted infection,antibiotics
lower abdominal pain,painful urination,fever,pelvic inflammatory disease,antibiotics
painful cramps,abdominal pain,nausea,ovarian cyst,pain relievers
painful urination,blood in urine,fever,bladder infection,antibiotics
