Symptom;Symptom;Symptom;Disease;Treatment
Sudden weakness;Slurred speech;Dizziness;TIA;Blood thinners
Temporary blindness;Numbness;Loss of coordination;TIA;Antiplatelet drugs
Tingling;Burning sensation;Muscle weakness;Neuropathy;Antidepressants
Numbness;Pain;Loss of sensation;Neuropathy;Anticonvulsants
Loss of reflexes;Muscle cramps;Tingling;Neuropathy;Pain relievers
Tremors;Slurred speech;Slow movement;Parkinson's disease;Levodopa
Muscle stiffness;Difficulty walking;Loss of balance;Parkinson's disease;MAO-B inhibitors
Jerking movements;Fatigue;Mood changes;Parkinson's disease;Dopamine agonists
Dizziness;Fatigue;Blurred vision;Multiple sclerosis;Interferons
Weakness;Tingling;Vision problems;Multiple sclerosis;Plasma exchange
Muscle spasms;Numbness;Difficulty walking;Multiple sclerosis;Disease-modifying drugs
Muscle weakness;Double vision;Slurred speech;Myasthenia gravis;Anticholinesterase drugs
Fatigue;Drooping eyelids;Difficulty swallowing;Myasthenia gravis;Immunosuppressants
Muscle fatigue;Weakness;Breathing issues;Myasthenia gravis;Respiratory support
Seizures;Loss of awareness;Jerking movements;Epilepsy;Sodium valproate
Temporary confusion;Unusual behavior;Staring spells;Epilepsy;Lamotrigine
Convulsions;Fear or anxiety;Stiff body;Epilepsy;Antiepileptic drugs
Sudden headache;Weakness;Numbness;Stroke;Clot-busting drugs
Loss of coordination;Dizziness;Paralysis;Stroke;Thrombolytics
Vision loss;Slurred speech;Confusion;Stroke;Surgery
Weakness;Muscle stiffness;Speech problems;ALS;Riluzole
Drooping eyelids;Difficulty breathing;Speech issues;ALS;Antispastic drugs
Difficulty swallowing;Muscle weakness;Slurred speech;ALS;Nutritional support
Memory loss;Difficulty speaking;Wandering;Alzheimer's disease;Cholinesterase inhibitors
Disorientation;Forgetfulness;Mood changes;Alzheimer's disease;Memantine
Confusion;Mood swings;Difficulty concentrating;Alzheimer's disease;Cognitive therapy
Back pain;Numbness;Weakness in legs;Spinal cord injury;Surgery
Loss of sensation;Muscle cramps;Tingling in arms;Spinal cord injury;Corticosteroids
Paralysis;Weakness;Pain;Spinal cord injury;Physical therapy
Facial paralysis;Dry eye;Loss of taste;Bell's palsy;Corticosteroids
Drooping eyelids;Weakness;Sensitivity to sound;Bell's palsy;Pain relievers
Muscle twitching;Facial pain;Drooling;Bell's palsy;Occupational therapy
Tingling;Pain;Burning sensation;Neuropathy;Antidepressants
Slurred speech;Jerking movements;Uncontrollable movements;Huntington's disease;Tetrabenazine
Difficulty walking;Depression;Mood changes;Huntington's disease;Antipsychotics
Memory loss;Impaired thinking;Slurred speech;Huntington's disease;Occupational therapy
Headache;Dizziness;Vomiting;Brain tumor;Surgery
Vision loss;Seizures;Confusion;Brain tumor;Chemotherapy
Loss of balance;Fatigue;Weakness;Brain tumor;Surgery
Severe headache;Nausea;Blurred vision;Brain hemorrhage;Clot removal surgery
Confusion;Paralysis;Vomiting;Brain hemorrhage;Pain relievers
Sudden weakness;Dizziness;Slurred speech;TIA;Blood thinners
Temporary blindness;Numbness;Coordination loss;TIA;Antiplatelet drugs
Headache;Nausea;Vomiting;Migraine;Pain relievers
Headache;Nausea;Vomiting;Migraine;Pain relievers
Headache;Nausea;Vomiting;Migraine;Pain relievers
Headache;Dizziness;Fatigue;Parkinson's disease;Levodopa
Headache;Dizziness;Fatigue;Parkinson's disease;Levodopa
Dizziness;Nausea;Vomiting;Stroke;Clot-busting drugs
Dizziness;Nausea;Vomiting;Stroke;Clot-busting drugs
Headache;Memory loss;Dizziness;Alzheimer’s disease;Cholinesterase inhibitors
Headache;Memory loss;Dizziness;Alzheimer’s disease;Cholinesterase inhibitors
Weakness;Numbness;Tingling;Multiple sclerosis;Disease-modifying drugs
